 Latitude, Longitude,DateGMT,TimeGMT
-27.200955,-109.453045,03/11/2017,00:23:42
-27.20092,-109.4530667,03/11/2017,00:27:45
-27.200975,-109.45304,03/11/2017,00:31:48
-27.2009067,-109.4531183,03/11/2017,00:35:51
-27.2008983,-109.4530417,03/11/2017,00:39:55
-27.2009283,-109.453035,03/11/2017,00:43:58
-27.200915,-109.4529917,03/11/2017,00:48:01
-27.2009167,-109.4530817,03/11/2017,00:52:04
-27.2007217,-109.453375,03/11/2017,00:56:07
-27.2008867,-109.453225,03/11/2017,01:00:11
-27.200915,-109.45305,03/11/2017,01:04:14
-27.2008617,-109.4531983,03/11/2017,01:08:17
-27.2009467,-109.4531667,03/11/2017,01:12:21
-27.2007767,-109.4532533,03/11/2017,01:16:24
-27.2010433,-109.453025,03/11/2017,01:20:27
-27.2009567,-109.45307,03/11/2017,01:24:37
-27.20097,-109.4530633,03/11/2017,01:28:49
-27.2009333,-109.453085,03/11/2017,01:33:02
-27.20096,-109.4530817,03/11/2017,01:37:14
-27.200965,-109.4530683,03/11/2017,01:41:19
-27.200945,-109.453045,03/11/2017,01:45:24
-27.20091,-109.453045,03/11/2017,01:49:30
-27.20096,-109.4530683,03/11/2017,01:53:35
-27.2010117,-109.453105,03/11/2017,01:57:40
-27.20046,-109.4527183,03/11/2017,02:01:45
-27.2009817,-109.453035,03/11/2017,02:05:50
-27.2022133,-109.4540217,03/11/2017,02:09:55
-27.2009833,-109.453025,03/11/2017,02:14:03
-27.2014817,-109.4535733,03/11/2017,02:18:16
-27.2009633,-109.453045,03/11/2017,02:22:21
-27.2009883,-109.4530933,03/11/2017,02:26:26
-27.20098,-109.4529633,03/11/2017,02:30:31
-27.200995,-109.4530133,03/11/2017,02:34:38
-27.2010283,-109.4530717,03/11/2017,02:38:45
-27.2009933,-109.45301,03/11/2017,02:42:54
-27.20099,-109.4530617,03/11/2017,02:47:05
-27.2009683,-109.4529467,03/11/2017,02:51:19
-27.2010167,-109.4530783,03/11/2017,02:55:27
-27.2009083,-109.45287,03/11/2017,02:59:43
-27.2010367,-109.4531067,03/11/2017,03:04:00
-27.2009617,-109.4529217,03/11/2017,03:08:13
-27.20099,-109.45307,03/11/2017,03:12:23
-27.201055,-109.45321,03/11/2017,03:16:48
-27.2010667,-109.45321,03/11/2017,03:21:02
