Latitude,Longitude,DateGMT,TimeGMT
-26.80237,-109.2519717,24/11/2017,18:03:16
-26.8034433,-109.2412567,24/11/2017,18:07:27
-26.8265767,-109.240155,24/11/2017,18:11:34
-26.85394,-109.2529517,24/11/2017,18:15:39
-26.864935,-109.25669,24/11/2017,18:19:45
-26.8789133,-109.2573733,24/11/2017,18:23:50
-26.8922683,-109.2489217,24/11/2017,18:27:56
-26.90695,-109.2464067,24/11/2017,18:32:01
-26.9197683,-109.2356783,24/11/2017,18:36:06
-26.93509,-109.2297583,24/11/2017,18:40:11
-26.9614133,-109.229435,24/11/2017,18:44:17
-26.984335,-109.2180017,24/11/2017,18:48:21
-27.0062883,-109.2080133,24/11/2017,18:52:30
-27.01099,-109.2071367,24/11/2017,18:56:38
-27.0112833,-109.2074817,24/11/2017,19:00:43
-27.0108233,-109.206945,24/11/2017,19:04:56
-27.0259217,-109.2184783,24/11/2017,19:09:02
-27.0558983,-109.2363883,24/11/2017,19:13:08
-27.08383,-109.240005,24/11/2017,19:17:26
-27.100205,-109.2302533,24/11/2017,19:21:37
-27.1332433,-109.2534583,24/11/2017,19:25:45
-27.1562267,-109.306265,24/11/2017,19:30:24
-27.17503,-109.352335,24/11/2017,19:34:29
-27.1894233,-109.4076867,24/11/2017,19:38:34
-27.2012283,-109.45313,24/11/2017,19:42:38
-27.20095,-109.45289,24/11/2017,19:46:57
-27.2010167,-109.4528717,24/11/2017,19:51:02
-27.2009967,-109.452725,24/11/2017,19:55:07
-27.20101,-109.4528283,24/11/2017,19:59:20
-27.2010783,-109.4528517,24/11/2017,20:03:30
-27.2010583,-109.4528683,24/11/2017,20:07:45
-27.2010267,-109.452875,24/11/2017,20:12:01
-27.2009883,-109.4530017,24/11/2017,20:16:11
-27.2010533,-109.4532917,24/11/2017,20:20:27
-27.2010017,-109.4530133,24/11/2017,20:24:37
-27.2009733,-109.4528283,24/11/2017,20:28:45
-27.2009933,-109.452845,24/11/2017,20:32:54
