ID	 Latitude	 Longitude	DateGMT	TimeGMT
T58	-27.20125	-109.452698	02/11/2017	18:22:16
T58	-27.201143	-109.452682	02/11/2017	18:26:19
T58	-27.201323	-109.452652	02/11/2017	18:30:21
T58	-27.201366	-109.45266	02/11/2017	18:34:22
T58	-27.201334	-109.452858	02/11/2017	18:38:23
T58	-27.20134	-109.452682	02/11/2017	18:42:28
T58	-27.201378	-109.45266	02/11/2017	18:46:30
T58	-27.201408	-109.452675	02/11/2017	18:50:32
T58	-27.201218	-109.452682	02/11/2017	18:54:34
T58	-27.201271	-109.452652	02/11/2017	18:58:36
T58	-27.201441	-109.452606	02/11/2017	19:02:38
T58	-27.20154	-109.452568	02/11/2017	19:06:39
T58	-27.201523	-109.452545	02/11/2017	19:10:40
T58	-27.201637	-109.452522	02/11/2017	19:14:41
T58	-27.201555	-109.452675	02/11/2017	19:18:41
T58	-27.201639	-109.45266	02/11/2017	19:22:41
T58	-27.201586	-109.452522	02/11/2017	19:26:41
T58	-27.201082	-109.452827	02/11/2017	19:30:41
T58	-27.201448	-109.45256	02/11/2017	19:34:41
T58	-27.201622	-109.452522	02/11/2017	19:38:41
T58	-27.201366	-109.452652	02/11/2017	19:42:41
T58	-27.201401	-109.452667	02/11/2017	19:46:41
T58	-27.201447	-109.452705	02/11/2017	19:50:40
T58	-27.201303	-109.452721	02/11/2017	19:54:39
T58	-27.201309	-109.452698	02/11/2017	19:58:39
T58	-27.201323	-109.452698	02/11/2017	20:02:39
T58	-27.201227	-109.452721	02/11/2017	20:06:39
T58	-27.201263	-109.452698	02/11/2017	20:10:39
T58	-27.201277	-109.452744	02/11/2017	20:14:38
T58	-27.201332	-109.452682	02/11/2017	20:18:37
T58	-27.201195	-109.45269	02/11/2017	20:22:36
T58	-27.201277	-109.452766	02/11/2017	20:26:34
T58	-27.201099	-109.45266	02/11/2017	20:30:32
T58	-27.201283	-109.452736	02/11/2017	20:34:30
T58	-27.201166	-109.452736	02/11/2017	20:38:28
T58	-27.20101	-109.452606	02/11/2017	20:42:26
T58	-27.201035	-109.452667	02/11/2017	20:46:24
T58	-27.201006	-109.45269	02/11/2017	20:50:22
T58	-27.200918	-109.452599	02/11/2017	20:54:20
T58	-27.200964	-109.452599	02/11/2017	20:58:18
T58	-27.200924	-109.45256	02/11/2017	21:02:15
T58	-27.201052	-109.45266	02/11/2017	21:06:13
T58	-27.201057	-109.452682	02/11/2017	21:10:10
T58	-27.201052	-109.452698	02/11/2017	21:14:08
T58	-27.201044	-109.452614	02/11/2017	21:18:10
T58	-27.200886	-109.452576	02/11/2017	21:22:07
T58	-27.201071	-109.452621	02/11/2017	21:26:05
T58	-27.200987	-109.452866	02/11/2017	21:30:03
T58	-27.200785	-109.452583	02/11/2017	21:34:02
T58	-27.200808	-109.452507	02/11/2017	21:38:01
T58	-27.200819	-109.45256	02/11/2017	21:42:00
T58	-27.200821	-109.452545	02/11/2017	21:45:59
T58	-27.200836	-109.452499	02/11/2017	21:49:58
T58	-27.200867	-109.452446	02/11/2017	21:53:56
T58	-27.200829	-109.452446	02/11/2017	21:57:54
T58	-27.200817	-109.452469	02/11/2017	22:01:52
T58	-27.200792	-109.452576	02/11/2017	22:05:50
T58	-27.200762	-109.452553	02/11/2017	22:09:48
T58	-27.200819	-109.45253	02/11/2017	22:13:47
T58	-27.200853	-109.452477	02/11/2017	22:17:46
T58	-27.200855	-109.452538	02/11/2017	22:21:45
T58	-27.200878	-109.452515	02/11/2017	22:25:44
T58	-27.200926	-109.452438	02/11/2017	22:29:42
T58	-27.201008	-109.452362	02/11/2017	22:33:41
T58	-27.200968	-109.45237	02/11/2017	22:37:38
T58	-27.201017	-109.452477	02/11/2017	22:41:36
T58	-27.201054	-109.452682	02/11/2017	22:45:33
T58	-27.201122	-109.452301	02/11/2017	22:49:30
T58	-27.201021	-109.452515	02/11/2017	22:53:28
T58	-27.201281	-109.452316	02/11/2017	22:57:26
T58	-27.2012	-109.452606	02/11/2017	23:01:27
T58	-27.201239	-109.452538	02/11/2017	23:05:27
T58	-27.20125	-109.452454	02/11/2017	23:09:25
T58	-27.201033	-109.452576	02/11/2017	23:13:22
T58	-27.201094	-109.452545	02/11/2017	23:17:19
T58	-27.201141	-109.452583	02/11/2017	23:21:16
T58	-27.201134	-109.452606	02/11/2017	23:25:13
T58	-27.201143	-109.452553	02/11/2017	23:29:10
T58	-27.201128	-109.452568	02/11/2017	23:33:07
T58	-27.201159	-109.452606	02/11/2017	23:37:04
T58	-27.201153	-109.452614	02/11/2017	23:41:01
T58	-27.201128	-109.452652	02/11/2017	23:44:58
T58	-27.201111	-109.452667	02/11/2017	23:48:57
T58	-27.201117	-109.452644	02/11/2017	23:52:55
T58	-27.201109	-109.452637	02/11/2017	23:56:52
T58	-27.201117	-109.452675	03/11/2017	00:00:49
T58	-27.201094	-109.452652	03/11/2017	00:04:46
T58	-27.201096	-109.452675	03/11/2017	00:08:43
T58	-27.201075	-109.452652	03/11/2017	00:12:40
T58	-27.201038	-109.45269	03/11/2017	00:16:37
T58	-27.201	-109.452789	03/11/2017	00:20:34
T58	-27.200981	-109.452843	03/11/2017	00:24:32
T58	-27.200983	-109.452835	03/11/2017	00:28:30
T58	-27.201	-109.452827	03/11/2017	00:32:27
T58	-27.200962	-109.452942	03/11/2017	00:36:25
T58	-27.200937	-109.452972	03/11/2017	00:40:25
T58	-27.200926	-109.452995	03/11/2017	00:44:24
T58	-27.200922	-109.452995	03/11/2017	00:48:21
T58	-27.200909	-109.452965	03/11/2017	00:52:19
T58	-27.200878	-109.452965	03/11/2017	00:56:17
T58	-27.200912	-109.452942	03/11/2017	01:00:14
