ID	 Latitude	 Longitude	DateGMT	TimeGMT
T56	-27.2010517	-109.4531133	02/11/2017	17:47:25
T56	-27.2046067	-109.4520567	02/11/2017	17:51:29
T56	-27.2018817	-109.4535017	02/11/2017	17:55:34
T56	-27.19694	-109.4554733	02/11/2017	17:59:38
T56	-27.200355	-109.4532617	02/11/2017	18:03:44
T56	-27.2012017	-109.4532767	02/11/2017	18:07:48
T56	-27.2011433	-109.453165	02/11/2017	18:11:53
T56	-27.20127	-109.4532467	02/11/2017	18:15:57
T56	-27.2012767	-109.453255	02/11/2017	18:20:02
T56	-27.2011917	-109.4531217	02/11/2017	18:24:07
T56	-27.20125	-109.4531033	02/11/2017	18:28:11
T56	-27.2011833	-109.45313	02/11/2017	18:32:15
T56	-27.2012617	-109.4531717	02/11/2017	18:36:19
T56	-27.2012833	-109.453165	02/11/2017	18:40:24
T56	-27.201195	-109.4531767	02/11/2017	18:44:28
T56	-27.2012533	-109.453135	02/11/2017	18:48:33
T56	-27.2011767	-109.453145	02/11/2017	18:52:37
T56	-27.201245	-109.4531417	02/11/2017	18:56:42
T56	-27.20117	-109.4531833	02/11/2017	19:00:46
T56	-27.2011783	-109.4531367	02/11/2017	19:04:50
T56	-27.2012383	-109.4530967	02/11/2017	19:08:54
T56	-27.201195	-109.4530383	02/11/2017	19:13:00
T56	-27.2011633	-109.4531283	02/11/2017	19:17:04
T56	-27.2010767	-109.45314	02/11/2017	19:21:08
T56	-27.2006333	-109.45608	02/11/2017	19:25:12
T56	-27.2265317	-109.4596317	02/11/2017	19:29:18
T56	-27.2319817	-109.4569233	02/11/2017	19:33:25
T56	-27.2358267	-109.4562667	02/11/2017	19:37:33
T56	-27.236045	-109.4560483	02/11/2017	19:41:39
T56	-27.2387067	-109.4571683	02/11/2017	19:45:45
T56	-27.2406567	-109.456	02/11/2017	19:50:01
T56	-27.2484317	-109.456015	02/11/2017	19:54:06
T56	-27.2517433	-109.4555733	02/11/2017	19:58:12
T56	-27.2515417	-109.4582167	02/11/2017	20:02:26
T56	-27.23405	-109.4574233	02/11/2017	20:06:33
T56	-27.2316567	-109.4489617	02/11/2017	20:12:01
T56	-27.2307133	-109.442595	02/11/2017	20:16:06
T56	-27.2144917	-109.4460417	02/11/2017	20:20:12
T56	-27.2004917	-109.45331	02/11/2017	20:24:25
T56	-27.2011867	-109.4534317	02/11/2017	20:28:32
T56	-27.2011133	-109.45311	02/11/2017	20:32:37
T56	-27.2009167	-109.4528017	02/11/2017	20:36:50
T56	-27.2011483	-109.453205	02/11/2017	20:40:54
T56	-27.2007467	-109.452645	02/11/2017	20:45:08
T56	-27.201125	-109.4532317	02/11/2017	20:49:12
T56	-27.2005167	-109.452415	02/11/2017	20:53:26
T56	-27.2006633	-109.452475	02/11/2017	20:57:37
T56	-27.2009717	-109.4531083	02/11/2017	21:01:43
T56	-27.2010383	-109.45316	02/11/2017	21:05:47
T56	-27.2011667	-109.4533217	02/11/2017	21:10:01
T56	-27.201135	-109.4531833	02/11/2017	21:14:06
T56	-27.2010567	-109.4532083	02/11/2017	21:18:14
T56	-27.20119	-109.4534533	02/11/2017	21:22:25
T56	-27.2012667	-109.45353	02/11/2017	21:26:30
T56	-27.2010717	-109.4533083	02/11/2017	21:30:50
T56	-27.200915	-109.4532267	02/11/2017	21:34:59
T56	-27.20074	-109.4531233	02/11/2017	21:39:13
T56	-27.201215	-109.4532317	02/11/2017	21:43:22
T56	-27.2010267	-109.453285	02/11/2017	21:47:39
T56	-27.2009833	-109.45335	02/11/2017	21:51:50
T56	-27.2010117	-109.45338	02/11/2017	21:56:09
T56	-27.20093	-109.4532283	02/11/2017	22:00:31
T56	-27.2006067	-109.4538167	02/11/2017	22:04:46
T56	-27.2011	-109.453235	02/11/2017	22:09:25
T56	-27.2010917	-109.453195	02/11/2017	22:13:27
T56	-27.201105	-109.453225	02/11/2017	22:17:29
T56	-27.2010883	-109.4532117	02/11/2017	22:21:32
T56	-27.2010867	-109.453315	02/11/2017	22:25:36
T56	-27.2010617	-109.453325	02/11/2017	22:29:40
T56	-27.2011133	-109.4531483	02/11/2017	22:33:44
T56	-27.2010433	-109.4532583	02/11/2017	22:37:48
T56	-27.2009417	-109.452335	02/11/2017	22:42:01
T56	-27.20105	-109.453305	02/11/2017	22:46:04
T56	-27.2010867	-109.4531633	02/11/2017	22:50:08
T56	-27.2012267	-109.453055	02/11/2017	22:54:12
T56	-27.2011417	-109.4531467	02/11/2017	22:58:17
T56	-27.2011967	-109.45318	02/11/2017	23:02:20
T56	-27.2010933	-109.4532517	02/11/2017	23:06:24
T56	-27.2011267	-109.4532367	02/11/2017	23:10:27
T56	-27.20114	-109.45338	02/11/2017	23:14:31
T56	-27.2011417	-109.4533317	02/11/2017	23:18:34
T56	-27.2011133	-109.4532317	02/11/2017	23:22:37
T56	-27.2010867	-109.4533167	02/11/2017	23:26:40
T56	-27.2011267	-109.4532233	02/11/2017	23:30:44
T56	-27.2011233	-109.4532133	02/11/2017	23:34:47
T56	-27.20103	-109.4531583	02/11/2017	23:38:50
T56	-27.2010967	-109.453205	02/11/2017	23:42:53
T56	-27.20106	-109.4532867	02/11/2017	23:46:57
T56	-27.2011183	-109.45328	02/11/2017	23:51:02
T56	-27.201025	-109.4532567	02/11/2017	23:55:06
T56	-27.2011767	-109.4531133	02/11/2017	23:59:10
T56	-27.2011567	-109.453175	03/11/2017	00:03:17
T56	-27.2012217	-109.4531017	03/11/2017	00:07:24
T56	-27.20121	-109.4532233	03/11/2017	00:11:32
T56	-27.201025	-109.4531967	03/11/2017	00:15:37
T56	-27.2010867	-109.4532067	03/11/2017	00:19:43
T56	-27.2010533	-109.4531667	03/11/2017	00:23:48
T56	-27.2011483	-109.4530433	03/11/2017	00:27:53
T56	-27.2011217	-109.4532133	03/11/2017	00:31:58
T56	-27.2011167	-109.4532133	03/11/2017	00:36:04
T56	-27.2010917	-109.453145	03/11/2017	00:40:09
T56	-27.2010733	-109.453245	03/11/2017	00:44:14
T56	-27.201065	-109.4531483	03/11/2017	00:48:19
T56	-27.2010783	-109.453165	03/11/2017	00:52:25
T56	-27.2010733	-109.4531583	03/11/2017	00:56:30
T56	-27.201035	-109.4532083	03/11/2017	01:00:35
T56	-27.2010617	-109.4531883	03/11/2017	01:04:40
T56	-27.2010367	-109.4532033	03/11/2017	01:08:46
T56	-27.2010333	-109.4531967	03/11/2017	01:12:51
T56	-27.2011367	-109.4531267	03/11/2017	01:16:56
T56	-27.2011167	-109.4531333	03/11/2017	01:21:02
T56	-27.201105	-109.4532317	03/11/2017	01:25:09
T56	-27.2010633	-109.4531817	03/11/2017	01:29:16
T56	-27.201115	-109.4532367	03/11/2017	01:33:22
T56	-27.2011733	-109.453135	03/11/2017	01:37:28
T56	-27.20111	-109.4532	03/11/2017	01:41:36
T56	-27.2010767	-109.4533633	03/11/2017	01:45:42
T56	-27.201035	-109.4534633	03/11/2017	01:49:47
T56	-27.2009883	-109.4534483	03/11/2017	01:53:52
T56	-27.2010917	-109.4533917	03/11/2017	01:57:58
T56	-27.2011767	-109.4530267	03/11/2017	02:02:08
T56	-27.20117	-109.4531017	03/11/2017	02:06:26
T56	-27.2010917	-109.45302	03/11/2017	02:10:38
T56	-27.2010667	-109.453275	03/11/2017	02:14:53
T56	-27.2010467	-109.4537467	03/11/2017	02:19:04
T56	-27.20105	-109.4536267	03/11/2017	02:23:18
T56	-27.201105	-109.45347	03/11/2017	02:27:38
T56	-27.201065	-109.453805	03/11/2017	02:31:55
T56	-27.2010533	-109.4536717	03/11/2017	02:36:22
T56	-27.20108	-109.45385	03/11/2017	02:40:45
T56	-27.2012417	-109.4535033	03/11/2017	02:45:04
T56	-27.2010617	-109.4531567	03/11/2017	02:49:30
T56	-27.2010867	-109.453245	03/11/2017	02:53:38
T56	-27.2011183	-109.453205	03/11/2017	02:57:43
T56	-27.2011	-109.4532367	03/11/2017	03:01:48
T56	-27.2011083	-109.4532333	03/11/2017	03:06:01
T56	-27.201105	-109.4532333	03/11/2017	03:10:14
T56	-27.2011283	-109.4532067	03/11/2017	03:14:25
T56	-27.2011133	-109.4532283	03/11/2017	03:18:37
T56	-27.201135	-109.4532033	03/11/2017	03:22:50
T56	-27.2011133	-109.4532333	03/11/2017	03:27:01
T56	-27.2011167	-109.4532317	03/11/2017	03:31:13
T56	-27.2011183	-109.45324	03/11/2017	03:35:26
T56	-27.2010883	-109.4532417	03/11/2017	03:39:37
T56	-27.2011083	-109.4532183	03/11/2017	03:43:49
T56	-27.2010917	-109.45327	03/11/2017	03:47:53
T56	-27.2010767	-109.453215	03/11/2017	03:51:59
T56	-27.20109	-109.4532467	03/11/2017	03:56:03
T56	-27.201095	-109.4532067	03/11/2017	04:00:07
T56	-27.20111	-109.453215	03/11/2017	04:04:12
T56	-27.20111	-109.45322	03/11/2017	04:08:18
T56	-27.20111	-109.4532417	03/11/2017	04:12:22
T56	-27.2011017	-109.4532417	03/11/2017	04:16:27
T56	-27.2011283	-109.4532317	03/11/2017	04:20:33
T56	-27.201095	-109.45323	03/11/2017	04:24:38
T56	-27.2011167	-109.4532883	03/11/2017	04:28:44
T56	-27.20086	-109.4533883	03/11/2017	04:32:48
T56	-27.2011467	-109.4532717	03/11/2017	04:36:52
T56	-27.2011883	-109.45326	03/11/2017	04:40:56
T56	-27.2008917	-109.452965	03/11/2017	04:45:07
T56	-27.2013383	-109.4536867	03/11/2017	04:49:19
T56	-27.2011583	-109.45336	03/11/2017	04:53:32
T56	-27.2009667	-109.4530983	03/11/2017	04:57:44
T56	-27.2007533	-109.4531183	03/11/2017	05:01:55
T56	-27.2009583	-109.4531533	03/11/2017	05:06:07
T56	-27.200855	-109.45313	03/11/2017	05:10:19
T56	-27.2009717	-109.4531033	03/11/2017	05:14:32
T56	-27.201035	-109.4531733	03/11/2017	05:18:44
T56	-27.2010633	-109.4531417	03/11/2017	05:22:57
T56	-27.2011233	-109.4532067	03/11/2017	05:27:14
T56	-27.2012083	-109.4533433	03/11/2017	05:31:19
T56	-27.2011483	-109.4532167	03/11/2017	05:35:37
T56	-27.20106	-109.45317	03/11/2017	05:39:57
T56	-27.2011033	-109.4532217	03/11/2017	05:44:30
T56	-27.2010867	-109.45326	03/11/2017	05:48:43
T56	-27.20111	-109.453255	03/11/2017	05:52:55
T56	-27.2011333	-109.4532267	03/11/2017	05:57:08
T56	-27.2011433	-109.4532433	03/11/2017	06:01:20
T56	-27.20111	-109.4531917	03/11/2017	06:05:31
T56	-27.2011367	-109.45326	03/11/2017	06:09:43
T56	-27.2011233	-109.4532417	03/11/2017	06:13:56
T56	-27.201145	-109.4532517	03/11/2017	06:18:08
T56	-27.2011317	-109.4532517	03/11/2017	06:22:19
T56	-27.2011217	-109.4532533	03/11/2017	06:26:32
T56	-27.2011267	-109.45324	03/11/2017	06:30:43
T56	-27.2011283	-109.453215	03/11/2017	06:34:55
T56	-27.2011167	-109.4532117	03/11/2017	06:39:08
T56	-27.20112	-109.4532417	03/11/2017	06:43:19
T56	-27.2011583	-109.453245	03/11/2017	06:47:31
T56	-27.20109	-109.453285	03/11/2017	06:51:44
T56	-27.2011583	-109.4532167	03/11/2017	06:55:55
T56	-27.20107	-109.4532467	03/11/2017	07:00:00
T56	-27.20106	-109.4532533	03/11/2017	07:04:05
T56	-27.201035	-109.4532883	03/11/2017	07:08:11
T56	-27.201075	-109.4532917	03/11/2017	07:12:17
T56	-27.2009883	-109.45325	03/11/2017	07:16:23
T56	-27.20102	-109.4532483	03/11/2017	07:20:31
T56	-27.201125	-109.4532367	03/11/2017	07:24:44
T56	-27.201105	-109.4532417	03/11/2017	07:28:56
T56	-27.2024483	-109.45218	03/11/2017	07:33:08
T56	-27.202265	-109.45223	03/11/2017	07:37:20
T56	-27.201035	-109.4532633	03/11/2017	07:41:25
T56	-27.2010467	-109.4532733	03/11/2017	07:45:30
T56	-27.2010383	-109.45328	03/11/2017	07:49:35
T56	-27.2011917	-109.4531083	03/11/2017	07:53:50
T56	-27.2016633	-109.4534133	03/11/2017	07:57:55
T56	-27.2034667	-109.4259367	03/11/2017	08:02:08
T56	-27.1976883	-109.4011233	03/11/2017	08:06:13
T56	-27.1959033	-109.3896467	03/11/2017	08:10:18
T56	-27.20202	-109.393475	03/11/2017	08:14:25
T56	-27.2002817	-109.3929567	03/11/2017	08:18:30
T56	-27.20095	-109.3904183	03/11/2017	08:22:35
T56	-27.1994833	-109.39493	03/11/2017	08:26:40
T56	-27.1952983	-109.3924767	03/11/2017	08:30:45
T56	-27.1960333	-109.391405	03/11/2017	08:34:50
T56	-27.1950417	-109.392855	03/11/2017	08:39:01
T56	-27.1895717	-109.3948233	03/11/2017	08:43:13
T56	-27.1986417	-109.38883	03/11/2017	08:47:25
T56	-27.1957333	-109.3906183	03/11/2017	08:51:37
T56	-27.1969133	-109.3898433	03/11/2017	08:55:49
T56	-27.1912133	-109.3921267	03/11/2017	09:00:01
T56	-27.19829	-109.4036767	03/11/2017	09:04:13
T56	-27.19477	-109.4326733	03/11/2017	09:08:28
T56	-27.194405	-109.4566733	03/11/2017	09:12:45
T56	-27.190085	-109.4792433	03/11/2017	09:16:57
T56	-27.1891717	-109.4865467	03/11/2017	09:21:08
T56	-27.1898367	-109.48603	03/11/2017	09:25:20
T56	-27.19027	-109.484985	03/11/2017	09:29:37
T56	-27.19119	-109.48477	03/11/2017	09:33:42
T56	-27.19822	-109.4618983	03/11/2017	09:37:47
T56	-27.2010133	-109.4530283	03/11/2017	09:42:02
T56	-27.2009817	-109.4530433	03/11/2017	09:46:07
T56	-27.200975	-109.4530483	03/11/2017	09:50:22
T56	-27.2009833	-109.453015	03/11/2017	09:54:47
T56	-27.2009783	-109.45297	03/11/2017	09:59:03
T56	-27.2010817	-109.4531717	03/11/2017	10:03:31
T56	-27.2010617	-109.453155	03/11/2017	10:07:35
T56	-27.2012983	-109.4532167	03/11/2017	10:11:50
T56	-27.2010867	-109.4528567	03/11/2017	10:15:55
T56	-27.20104	-109.45315	03/11/2017	10:20:00
T56	-27.2010717	-109.45319	03/11/2017	10:24:06
T56	-27.2010533	-109.4531783	03/11/2017	10:28:11
T56	-27.200945	-109.4531417	03/11/2017	10:32:17
T56	-27.2010417	-109.4531433	03/11/2017	10:36:26
T56	-27.2010067	-109.45312	03/11/2017	10:40:31
T56	-27.20102	-109.453175	03/11/2017	10:44:37
T56	-27.2009867	-109.4531767	03/11/2017	10:48:43
T56	-27.2010417	-109.4531017	03/11/2017	10:52:50
T56	-27.201065	-109.4531283	03/11/2017	10:56:56
T56	-27.2010283	-109.45316	03/11/2017	11:01:04
T56	-27.2010083	-109.4531783	03/11/2017	11:05:09
T56	-27.2010217	-109.4531567	03/11/2017	11:09:13
T56	-27.2010267	-109.45314	03/11/2017	11:13:17
T56	-27.2009783	-109.453125	03/11/2017	11:17:21
T56	-27.2010217	-109.4531633	03/11/2017	11:21:27
T56	-27.2010367	-109.4531867	03/11/2017	11:25:33
T56	-27.200565	-109.4528783	03/11/2017	11:29:40
T56	-27.2015333	-109.453255	03/11/2017	11:33:44
T56	-27.201255	-109.4531117	03/11/2017	11:37:49
T56	-27.2014567	-109.453265	03/11/2017	11:41:53
T56	-27.2010217	-109.4531617	03/11/2017	11:46:14
T56	-27.2015833	-109.4532167	03/11/2017	11:50:21
T56	-27.2013617	-109.4531767	03/11/2017	11:54:25
T56	-27.2003667	-109.4532317	03/11/2017	11:58:38
T56	-27.2020017	-109.4532233	03/11/2017	12:02:43
T56	-27.19956	-109.452695	03/11/2017	12:06:55
T56	-27.1996617	-109.4532167	03/11/2017	12:11:08
T56	-27.20283	-109.4532	03/11/2017	12:15:13
T56	-27.2034483	-109.45319	03/11/2017	12:19:22
T56	-27.2006367	-109.4532	03/11/2017	12:23:37
T56	-27.201005	-109.4531817	03/11/2017	12:27:49
T56	-27.2007167	-109.4530583	03/11/2017	12:32:01
T56	-27.2010783	-109.4532317	03/11/2017	12:36:15
T56	-27.2005633	-109.4531083	03/11/2017	12:40:29
T56	-27.2011417	-109.4532217	03/11/2017	12:44:47
T56	-27.2011	-109.4531733	03/11/2017	12:49:24
T56	-27.2010383	-109.4532383	03/11/2017	12:53:30
T56	-27.201075	-109.4531817	03/11/2017	12:57:35
T56	-27.2011	-109.4531383	03/11/2017	13:01:40
T56	-27.2011033	-109.4531583	03/11/2017	13:05:45
