Latitude,Longitude,DateGMT,TimeGMT
-27.201159,-109.452705,02/11/2017,18:47:03
-27.201124,-109.452797,02/11/2017,18:51:07
-27.201159,-109.452652,02/11/2017,18:55:14
-27.201157,-109.452766,02/11/2017,18:59:20
-27.201229,-109.452721,02/11/2017,19:03:26
-27.201166,-109.452721,02/11/2017,19:07:31
-27.20117,-109.452751,02/11/2017,19:11:36
-27.201176,-109.452751,02/11/2017,19:15:41
-27.201143,-109.45285,02/11/2017,19:19:46
-27.201199,-109.452744,02/11/2017,19:23:51
-27.201269,-109.452728,02/11/2017,19:27:56
-27.201242,-109.452713,02/11/2017,19:32:01
-27.201326,-109.452675,02/11/2017,19:36:06
-27.201372,-109.452675,02/11/2017,19:40:11
-27.201389,-109.452652,02/11/2017,19:44:15
-27.201365,-109.45266,02/11/2017,19:48:19
-27.201294,-109.452705,02/11/2017,19:52:23
-27.201351,-109.452667,02/11/2017,19:56:27
-27.20121,-109.452698,02/11/2017,20:00:31
-27.201284,-109.45269,02/11/2017,20:04:35
-27.201265,-109.45269,02/11/2017,20:08:38
-27.201231,-109.452728,02/11/2017,20:12:41
-27.201206,-109.452705,02/11/2017,20:16:44
-27.201117,-109.452667,02/11/2017,20:20:48
-27.201309,-109.45256,02/11/2017,20:24:52
-27.201162,-109.452667,02/11/2017,20:28:54
-27.201191,-109.452682,02/11/2017,20:32:57
-27.201138,-109.452667,02/11/2017,20:37:01
-27.201122,-109.45266,02/11/2017,20:41:05
-27.201143,-109.452675,02/11/2017,20:45:07
-27.201077,-109.452744,02/11/2017,20:49:10
-27.201105,-109.452705,02/11/2017,20:53:13
-27.201084,-109.452736,02/11/2017,20:57:16
-27.201107,-109.452736,02/11/2017,21:01:19
-27.201099,-109.452667,02/11/2017,21:05:22
-27.201078,-109.452675,02/11/2017,21:09:25
-27.201078,-109.45269,02/11/2017,21:13:28
-27.201097,-109.452698,02/11/2017,21:17:31
-27.201107,-109.452682,02/11/2017,21:21:34
-27.201077,-109.452713,02/11/2017,21:25:35
-27.201084,-109.452698,02/11/2017,21:29:38
-27.201052,-109.452698,02/11/2017,21:33:41
-27.201111,-109.452736,02/11/2017,21:37:44
-27.201069,-109.452728,02/11/2017,21:41:47
-27.201088,-109.452705,02/11/2017,21:45:50
-27.201118,-109.452736,02/11/2017,21:49:53
-27.201096,-109.45269,02/11/2017,21:53:56
-27.201174,-109.452789,02/11/2017,21:57:58
-27.201122,-109.452644,02/11/2017,22:02:01
-27.201092,-109.452644,02/11/2017,22:06:04
-27.201117,-109.452621,02/11/2017,22:10:07
-27.201189,-109.452812,02/11/2017,22:14:09
-27.201212,-109.452881,02/11/2017,22:18:11
-27.201212,-109.452827,02/11/2017,22:22:13
-27.201237,-109.452888,02/11/2017,22:26:16
-27.201193,-109.452545,02/11/2017,22:30:19
-27.201197,-109.452583,02/11/2017,22:34:22
-27.201214,-109.452553,02/11/2017,22:38:25
-27.201185,-109.452576,02/11/2017,22:42:28
-27.201168,-109.452583,02/11/2017,22:46:31
-27.201218,-109.452576,02/11/2017,22:50:34
-27.201244,-109.45256,02/11/2017,22:54:37
-27.2013,-109.452568,02/11/2017,22:58:40
