ID	 Latitude	 Longitude	DateGMT	TimeGMT
T64	-27.2011617	-109.4524133	24/11/2017	17:18:12
T64	-27.2012083	-109.4523917	24/11/2017	17:22:19
T64	-27.20115	-109.45241	24/11/2017	17:26:24
T64	-27.2012033	-109.4523283	24/11/2017	17:30:30
T64	-27.2011983	-109.45237	24/11/2017	17:34:35
T64	-27.2012183	-109.4523783	24/11/2017	17:38:41
T64	-27.2011067	-109.452455	24/11/2017	17:42:48
T64	-27.2012183	-109.4524167	24/11/2017	17:46:55
T64	-27.2011233	-109.452465	24/11/2017	17:51:03
T64	-27.20117	-109.4524817	24/11/2017	17:55:10
T64	-27.2010633	-109.4526033	24/11/2017	17:59:20
T64	-27.2017933	-109.4519317	24/11/2017	18:03:39
T64	-27.2021233	-109.451415	24/11/2017	18:07:57
T64	-27.2011433	-109.4525333	24/11/2017	18:12:31
T64	-27.2011583	-109.452745	24/11/2017	18:16:34
T64	-27.2011283	-109.4526867	24/11/2017	18:20:49
T64	-27.2011583	-109.4527367	24/11/2017	18:24:53
T64	-27.2011733	-109.4527133	24/11/2017	18:28:58
T64	-27.2011317	-109.452725	24/11/2017	18:33:03
T64	-27.2012233	-109.4528017	24/11/2017	18:37:07
T64	-27.2011883	-109.4526417	24/11/2017	18:41:13
T64	-27.2013217	-109.4528583	24/11/2017	18:45:18
T64	-27.2011933	-109.4526417	24/11/2017	18:49:24
T64	-27.2008083	-109.4519717	24/11/2017	18:53:38
T64	-27.2006917	-109.45199	24/11/2017	18:57:49
T64	-27.2012183	-109.4526583	24/11/2017	19:01:57
T64	-27.2013217	-109.452725	24/11/2017	19:06:03
T64	-27.2011883	-109.4525917	24/11/2017	19:10:11
T64	-27.20121	-109.4526683	24/11/2017	19:14:13
T64	-27.2012167	-109.4526717	24/11/2017	19:18:19
T64	-27.2009867	-109.452445	24/11/2017	19:22:25
T64	-27.2010117	-109.4524433	24/11/2017	19:26:31
T64	-27.2010667	-109.4525	24/11/2017	19:30:36
T64	-27.2011183	-109.4525267	24/11/2017	19:34:40
T64	-27.201105	-109.4525067	24/11/2017	19:38:55
T64	-27.20112	-109.45258	24/11/2017	19:42:59
T64	-27.2009717	-109.4526283	24/11/2017	19:47:02
T64	-27.201035	-109.4525617	24/11/2017	19:51:05
T64	-27.20106	-109.4525767	24/11/2017	19:55:10
T64	-27.2011683	-109.4525883	24/11/2017	19:59:14
