ID	 Latitude	 Longitude	DateGMT	TimeGMT
T55	-27.2009667	-109.4531183	02/11/2017	17:17:48
T55	-27.2010167	-109.453185	02/11/2017	17:21:53
T55	-27.200895	-109.4530933	02/11/2017	17:26:02
T55	-27.204105	-109.4527683	02/11/2017	17:30:08
T55	-27.2009183	-109.4529733	02/11/2017	17:34:20
T55	-27.2008083	-109.4529567	02/11/2017	17:38:26
T55	-27.200915	-109.452995	02/11/2017	17:42:38
T55	-27.200935	-109.45295	02/11/2017	17:46:42
T55	-27.2008867	-109.4529483	02/11/2017	17:50:55
T55	-27.2009433	-109.45305	02/11/2017	17:55:09
T55	-27.2009983	-109.45316	02/11/2017	17:59:13
T55	-27.2009	-109.4529617	02/11/2017	18:03:26
T55	-27.2009633	-109.4529633	02/11/2017	18:07:30
T55	-27.2009267	-109.4527983	02/11/2017	18:11:44
T55	-27.200975	-109.453055	02/11/2017	18:15:56
T55	-27.2009483	-109.4530283	02/11/2017	18:20:08
T55	-27.2009683	-109.45307	02/11/2017	18:24:20
T55	-27.2009767	-109.4530383	02/11/2017	18:28:32
T55	-27.20094	-109.453065	02/11/2017	18:32:37
T55	-27.200895	-109.45306	02/11/2017	18:36:43
T55	-27.2009783	-109.45315	02/11/2017	18:40:50
T55	-27.2009717	-109.45304	02/11/2017	18:44:56
T55	-27.2009317	-109.45292	02/11/2017	18:49:02
T55	-27.200975	-109.4530317	02/11/2017	18:53:10
T55	-27.200825	-109.452695	02/11/2017	18:57:26
T55	-27.2009617	-109.453095	02/11/2017	19:01:34
T55	-27.2012	-109.4525483	02/11/2017	19:05:49
T55	-27.2009617	-109.4530033	02/11/2017	19:09:53
T55	-27.2009517	-109.4531767	02/11/2017	19:13:59
T55	-27.2009867	-109.4534167	02/11/2017	19:18:03
T55	-27.201095	-109.4532867	02/11/2017	19:22:07
T55	-27.2006083	-109.453755	02/11/2017	19:26:26
T55	-27.200845	-109.4533567	02/11/2017	19:30:41
T55	-27.2009183	-109.4532417	02/11/2017	19:35:02
T55	-27.2009917	-109.4529117	02/11/2017	19:39:07
T55	-27.2006217	-109.4537283	02/11/2017	19:43:24
T55	-27.2005883	-109.4536483	02/11/2017	19:47:41
T55	-27.2006817	-109.45349	02/11/2017	19:52:06
T55	-27.200645	-109.4535267	02/11/2017	19:56:29
T55	-27.2006783	-109.4534567	02/11/2017	20:00:47
T55	-27.2007367	-109.4534217	02/11/2017	20:05:05
T55	-27.2007483	-109.4533667	02/11/2017	20:09:24
T55	-27.2007283	-109.45341	02/11/2017	20:13:43
T55	-27.2007167	-109.45336	02/11/2017	20:18:04
T55	-27.20075	-109.45328	02/11/2017	20:22:24
T55	-27.2007283	-109.4532483	02/11/2017	20:26:42
T55	-27.2006	-109.45325	02/11/2017	20:30:58
T55	-27.2006333	-109.4532133	02/11/2017	20:35:13
T55	-27.2005983	-109.453195	02/11/2017	20:39:28
T55	-27.2006183	-109.4531417	02/11/2017	20:43:43
T55	-27.2006067	-109.4531633	02/11/2017	20:48:00
T55	-27.2005717	-109.4531917	02/11/2017	20:52:11
T55	-27.2005483	-109.453165	02/11/2017	20:56:30
T55	-27.2005683	-109.4532117	02/11/2017	21:00:41
T55	-27.1998367	-109.4530583	02/11/2017	21:04:56
T55	-27.2005683	-109.4531683	02/11/2017	21:09:17
T55	-27.200545	-109.453195	02/11/2017	21:13:36
T55	-27.200325	-109.4531467	02/11/2017	21:17:47
T55	-27.2007417	-109.4532067	02/11/2017	21:22:05
T55	-27.2006483	-109.4532067	02/11/2017	21:26:14
T55	-27.20076	-109.4532767	02/11/2017	21:30:24
T55	-27.2008967	-109.4529417	02/11/2017	21:34:38
T55	-27.20076	-109.4530833	02/11/2017	21:38:57
T55	-27.2008583	-109.4531417	02/11/2017	21:43:09
T55	-27.2002867	-109.453195	02/11/2017	21:47:16
T55	-27.2002867	-109.4532017	02/11/2017	21:51:23
T55	-27.2009267	-109.45342	02/11/2017	21:55:28
T55	-27.2009267	-109.4534017	02/11/2017	21:59:36
T55	-27.2009733	-109.453075	02/11/2017	22:04:02
T55	-27.2009683	-109.4530867	02/11/2017	22:08:06
T55	-27.2009583	-109.4530717	02/11/2017	22:12:12
T55	-27.2010067	-109.4530833	02/11/2017	22:16:27
T55	-27.2009817	-109.4531067	02/11/2017	22:20:37
T55	-27.2009617	-109.4530733	02/11/2017	22:24:44
T55	-27.20106	-109.4530083	02/11/2017	22:28:48
T55	-27.2009317	-109.4530667	02/11/2017	22:32:53
T55	-27.2009883	-109.453075	02/11/2017	22:37:00
T55	-27.2010383	-109.4529017	02/11/2017	22:41:04
T55	-27.200955	-109.45304	02/11/2017	22:45:07
T55	-27.2009417	-109.4530233	02/11/2017	22:49:10
T55	-27.201015	-109.452975	02/11/2017	22:53:13
T55	-27.2009733	-109.4529517	02/11/2017	22:57:17
T55	-27.2009433	-109.4531033	02/11/2017	23:01:20
T55	-27.2009567	-109.4529983	02/11/2017	23:05:23
T55	-27.2009367	-109.453005	02/11/2017	23:09:26
T55	-27.20093	-109.453115	02/11/2017	23:13:30
T55	-27.2008517	-109.4529217	02/11/2017	23:17:33
T55	-27.2009233	-109.453025	02/11/2017	23:21:36
T55	-27.20075	-109.4529933	02/11/2017	23:25:40
T55	-27.20102	-109.4531	02/11/2017	23:29:43
T55	-27.200965	-109.45304	02/11/2017	23:33:46
T55	-27.2009483	-109.4530567	02/11/2017	23:37:49
T55	-27.2009983	-109.4530317	02/11/2017	23:42:01
T55	-27.20097	-109.4530867	02/11/2017	23:46:14
T55	-27.2009967	-109.453065	02/11/2017	23:50:25
T55	-27.2009967	-109.453035	02/11/2017	23:54:37
T55	-27.2010083	-109.4531167	02/11/2017	23:58:50
T55	-27.201	-109.45305	03/11/2017	00:03:01
T55	-27.2010383	-109.4530683	03/11/2017	00:07:13
T55	-27.2010183	-109.4530417	03/11/2017	00:11:25
T55	-27.2010083	-109.4530683	03/11/2017	00:15:38
T55	-27.20097	-109.45327	03/11/2017	00:19:49
T55	-27.2008633	-109.4529167	03/11/2017	00:24:01
T55	-27.2009167	-109.4530467	03/11/2017	00:28:13
T55	-27.2010033	-109.4530617	03/11/2017	00:32:25
T55	-27.201005	-109.4530433	03/11/2017	00:36:37
T55	-27.201	-109.4531	03/11/2017	00:40:49
T55	-27.2010033	-109.4531017	03/11/2017	00:45:01
T55	-27.2010033	-109.4530683	03/11/2017	00:49:13
T55	-27.2010367	-109.4530867	03/11/2017	00:53:25
T55	-27.200995	-109.453045	03/11/2017	00:58:01
T55	-27.2012567	-109.4529133	03/11/2017	01:02:03
T55	-27.2010133	-109.4530417	03/11/2017	01:06:06
T55	-27.200975	-109.4530933	03/11/2017	01:10:09
T55	-27.2009967	-109.45303	03/11/2017	01:14:13
T55	-27.2008683	-109.453085	03/11/2017	01:18:16
T55	-27.20103	-109.452985	03/11/2017	01:22:19
T55	-27.2009617	-109.4529833	03/11/2017	01:26:22
T55	-27.20107	-109.4529967	03/11/2017	01:30:26
T55	-27.2008967	-109.4531483	03/11/2017	01:34:29
T55	-27.2009533	-109.4531233	03/11/2017	01:38:33
T55	-27.20094	-109.453075	03/11/2017	01:42:36
T55	-27.2009167	-109.45315	03/11/2017	01:46:40
T55	-27.200925	-109.4531217	03/11/2017	01:50:43
T55	-27.2009583	-109.4530883	03/11/2017	01:54:47
T55	-27.2010617	-109.453005	03/11/2017	01:58:50
T55	-27.2010117	-109.4531183	03/11/2017	02:02:54
T55	-27.2010117	-109.453125	03/11/2017	02:06:57
