Latitude,Longitude,DateGMT,TimeGMT
-27.2012817,-109.45247,24/11/2017,17:40:25
-27.2013017,-109.4523783,24/11/2017,17:44:27
-27.2013433,-109.4523933,24/11/2017,17:48:31
-27.201195,-109.4528217,24/11/2017,17:52:43
-27.2012617,-109.4526383,24/11/2017,17:57:02
-27.2011183,-109.4528,24/11/2017,18:01:44
-27.20153,-109.4520633,24/11/2017,18:06:00
-27.20156,-109.4518833,24/11/2017,18:10:21
-27.2012967,-109.45252,24/11/2017,18:15:01
-27.2013233,-109.45254,24/11/2017,18:19:04
-27.2012867,-109.45245,24/11/2017,18:23:07
-27.2012233,-109.4524767,24/11/2017,18:27:12
-27.2013017,-109.4523767,24/11/2017,18:31:16
-27.2013667,-109.452615,24/11/2017,18:35:19
-27.2012667,-109.45249,24/11/2017,18:39:22
-27.2012383,-109.4527517,24/11/2017,18:43:28
-27.2014317,-109.452625,24/11/2017,18:47:32
-27.2016267,-109.4528783,24/11/2017,18:51:35
-27.2012617,-109.4525483,24/11/2017,18:55:40
-27.2012383,-109.4524983,24/11/2017,18:59:43
-27.20127,-109.452505,24/11/2017,19:03:46
-27.2012733,-109.452575,24/11/2017,19:07:52
-27.20142,-109.452665,24/11/2017,19:11:57
-27.2013517,-109.452635,24/11/2017,19:16:00
-27.2012967,-109.4525483,24/11/2017,19:20:03
-27.2012567,-109.4526283,24/11/2017,19:24:06
-27.20126,-109.4525783,24/11/2017,19:28:10
-27.2012933,-109.4525717,24/11/2017,19:32:13
-27.201325,-109.45259,24/11/2017,19:36:17
-27.2014583,-109.452755,24/11/2017,19:40:20
-27.2013183,-109.4526067,24/11/2017,19:44:24
-27.20142,-109.4526483,24/11/2017,19:48:28
-27.201375,-109.4525683,24/11/2017,19:52:31
-27.2013317,-109.4525817,24/11/2017,19:56:34
-27.201265,-109.4525383,24/11/2017,20:00:38
-27.2012783,-109.4525283,24/11/2017,20:04:42
-27.2016833,-109.45246,24/11/2017,20:08:45
-27.20147,-109.4525967,24/11/2017,20:12:49
-27.2014583,-109.4526333,24/11/2017,20:16:55
-27.2012167,-109.452475,24/11/2017,20:21:00
-27.2014917,-109.45257,24/11/2017,20:25:05
-27.201455,-109.4525333,24/11/2017,20:29:15
-27.2015217,-109.4525333,24/11/2017,20:33:20
-27.20151,-109.45251,24/11/2017,20:37:25
-27.201575,-109.45247,24/11/2017,20:41:35
-27.2013767,-109.4525467,24/11/2017,20:45:43
-27.201294999999998,-109.4525683,24/11/2017,20:49:48
-27.2014233,-109.4525017,24/11/2017,20:53:53
-27.20165,-109.4523867,24/11/2017,20:57:58
-27.2014133,-109.4525417,24/11/2017,21:02:03
-27.2012817,-109.45262,24/11/2017,21:06:09
-27.2014283,-109.4525483,24/11/2017,21:10:16
-27.2011667,-109.452705,24/11/2017,21:14:22
-27.201275,-109.4526267,24/11/2017,21:18:27
-27.2012367,-109.4526583,24/11/2017,21:22:32
-27.2014217,-109.4525183,24/11/2017,21:26:36
-27.201165,-109.45278,24/11/2017,21:30:40
-27.2012567,-109.45268,24/11/2017,21:34:44
-27.201225,-109.452875,24/11/2017,21:38:49
-27.2013333,-109.4526167,24/11/2017,21:42:53
-27.20121,-109.45302,24/11/2017,21:47:11
-27.2012333,-109.4528983,24/11/2017,21:51:15
-27.2010717,-109.45312,24/11/2017,21:55:25
-27.2012817,-109.4526917,24/11/2017,21:59:46
-27.2011483,-109.45303,24/11/2017,22:04:04
-27.201305,-109.452515,24/11/2017,22:08:32
-27.201185,-109.4524517,24/11/2017,22:12:36
-27.201205,-109.4524533,24/11/2017,22:16:39
-27.2013717,-109.45259,24/11/2017,22:20:42
-27.20126,-109.4524783,24/11/2017,22:24:46
-27.2013383,-109.45251,24/11/2017,22:28:51
-27.2011667,-109.4524517,24/11/2017,22:32:54
-27.20138,-109.4524983,24/11/2017,22:36:57
-27.2012633,-109.4524667,24/11/2017,22:41:00
-27.2012717,-109.4524567,24/11/2017,22:45:03
-27.201294999999998,-109.45255,24/11/2017,22:49:07
-27.2012517,-109.4524483,24/11/2017,22:53:11
-27.2012383,-109.4524217,24/11/2017,22:57:16
-27.2013483,-109.452505,24/11/2017,23:01:20
-27.20129,-109.452535,24/11/2017,23:05:25
-27.2012433,-109.4524933,24/11/2017,23:09:28
-27.2014533,-109.452475,24/11/2017,23:13:31
-27.201294999999998,-109.452475,24/11/2017,23:17:35
-27.2013117,-109.4525117,24/11/2017,23:21:38
-27.201365,-109.4524817,24/11/2017,23:25:41
-27.2012717,-109.452565,24/11/2017,23:29:44
-27.2013567,-109.4525467,24/11/2017,23:33:48
-27.2013067,-109.45255,24/11/2017,23:37:51
-27.201245,-109.45249,24/11/2017,23:41:54
-27.2014033,-109.4525183,24/11/2017,23:45:57
-27.201365,-109.4524833,24/11/2017,23:50:01
-27.2012517,-109.4525,24/11/2017,23:54:04
-27.20132,-109.4525283,24/11/2017,23:58:07
-27.2014383,-109.452525,25/11/2017,00:02:10
-27.2011667,-109.45291,25/11/2017,00:06:14
-27.20129,-109.452555,25/11/2017,00:10:26
-27.2012967,-109.4526033,25/11/2017,00:14:39
-27.2012483,-109.4526467,25/11/2017,00:18:50
-27.201315,-109.4526367,25/11/2017,00:23:01
-27.2013067,-109.4526583,25/11/2017,00:27:13
-27.2012817,-109.4526333,25/11/2017,00:31:25
-27.201275,-109.4526667,25/11/2017,00:35:40
-27.2012817,-109.4526017,25/11/2017,00:39:59
-27.2012567,-109.4524833,25/11/2017,00:44:14
-27.2012667,-109.4525817,25/11/2017,00:48:26
-27.2012883,-109.4526017,25/11/2017,00:52:44
-27.2012667,-109.4525333,25/11/2017,00:56:57
-27.20131,-109.4525417,25/11/2017,01:01:30
-27.2012467,-109.4524517,25/11/2017,01:05:38
-27.2016433,-109.4529367,25/11/2017,01:09:56
-27.2012633,-109.452585,25/11/2017,01:14:15
-27.2013617,-109.4526933,25/11/2017,01:18:38
-27.2012767,-109.4524733,25/11/2017,01:23:01
-27.201275,-109.4525183,25/11/2017,01:27:04
-27.2012967,-109.45254,25/11/2017,01:31:19
-27.2013167,-109.452585,25/11/2017,01:35:33
-27.20108,-109.4521617,25/11/2017,01:39:45
-27.2012067,-109.4523,25/11/2017,01:44:19
-27.2014267,-109.452915,25/11/2017,01:48:42
-27.2012767,-109.45263,25/11/2017,01:52:51
-27.2012767,-109.4526083,25/11/2017,01:57:04
-27.2013567,-109.4525933,25/11/2017,02:01:10
-27.2012733,-109.4524317,25/11/2017,02:05:15
-27.2012733,-109.4525617,25/11/2017,02:09:27
-27.2013083,-109.4524467,25/11/2017,02:13:37
-27.2012717,-109.4524767,25/11/2017,02:17:41
-27.201245,-109.452495,25/11/2017,02:21:46
-27.2012633,-109.4526167,25/11/2017,02:25:50
-27.2012717,-109.45254,25/11/2017,02:29:57
-27.2013217,-109.4525217,25/11/2017,02:34:09
-27.2013417,-109.45256,25/11/2017,02:38:22
-27.2010867,-109.4525033,25/11/2017,02:42:35
-27.2014783,-109.4525517,25/11/2017,02:46:53
-27.201245,-109.4525283,25/11/2017,02:51:09
-27.20103,-109.4522933,25/11/2017,02:55:20
-27.2008917,-109.452155,25/11/2017,02:59:31
-27.20222,-109.45322,25/11/2017,03:03:43
-27.2023933,-109.4535067,25/11/2017,03:07:55
-27.2020767,-109.45326,25/11/2017,03:12:07
-27.201625,-109.4527183,25/11/2017,03:16:19
-27.202085,-109.453335,25/11/2017,03:20:31
-27.2012883,-109.4525267,25/11/2017,03:25:00
-27.20126,-109.4524183,25/11/2017,03:29:05
-27.2012783,-109.452495,25/11/2017,03:33:09
-27.20129,-109.452505,25/11/2017,03:37:13
-27.20131,-109.4525217,25/11/2017,03:41:17
-27.2012867,-109.45251,25/11/2017,03:45:21
-27.2013317,-109.4525433,25/11/2017,03:49:26
-27.2013183,-109.4525433,25/11/2017,03:53:31
-27.2013017,-109.4525317,25/11/2017,03:57:36
-27.2013217,-109.4526033,25/11/2017,04:01:42
-27.201365,-109.4525983,25/11/2017,04:05:47
-27.2013633,-109.45265,25/11/2017,04:09:52
-27.2013833,-109.4526233,25/11/2017,04:13:58
-27.2013817,-109.4526333,25/11/2017,04:18:05
-27.201294999999998,-109.4525367,25/11/2017,04:22:12
-27.201405,-109.4526483,25/11/2017,04:26:16
-27.2013033,-109.4525333,25/11/2017,04:30:22
-27.2013533,-109.4525967,25/11/2017,04:34:27
-27.2012917,-109.4525717,25/11/2017,04:38:32
-27.2013267,-109.452545,25/11/2017,04:42:37
-27.2013733,-109.4525983,25/11/2017,04:46:43
-27.2013017,-109.4525683,25/11/2017,04:50:48
-27.2013383,-109.4525633,25/11/2017,04:54:54
-27.20131,-109.4525467,25/11/2017,04:59:01
-27.2013367,-109.452555,25/11/2017,05:03:07
-27.201315,-109.45256,25/11/2017,05:07:12
-27.20128,-109.4525667,25/11/2017,05:11:17
-27.2013083,-109.4525633,25/11/2017,05:15:22
-27.201305,-109.45258,25/11/2017,05:19:27
-27.201265,-109.452535,25/11/2017,05:23:33
-27.2012917,-109.4525383,25/11/2017,05:27:38
-27.2012717,-109.4525567,25/11/2017,05:31:42
-27.2013033,-109.45254,25/11/2017,05:35:47
-27.2013517,-109.4525783,25/11/2017,05:39:53
-27.2013117,-109.4525067,25/11/2017,05:43:59
-27.2013317,-109.4523983,25/11/2017,05:48:05
-27.2012417,-109.4524117,25/11/2017,05:52:11
-27.2013317,-109.45262,25/11/2017,05:56:16
-27.201355,-109.4527733,25/11/2017,06:00:21
-27.20141,-109.45283,25/11/2017,06:04:27
-27.2013367,-109.4523883,25/11/2017,06:08:33
-27.2014333,-109.452925,25/11/2017,06:12:39
-27.2014533,-109.4528333,25/11/2017,06:16:46
-27.201255,-109.4525467,25/11/2017,06:20:51
-27.2014217,-109.45232,25/11/2017,06:24:56
-27.2012533,-109.4522717,25/11/2017,06:29:11
-27.20158,-109.4522033,25/11/2017,06:33:22
-27.2011183,-109.4511233,25/11/2017,06:37:37
-27.201555,-109.4523867,25/11/2017,06:41:42
-27.20139,-109.4518183,25/11/2017,06:45:56
-27.201355,-109.4518433,25/11/2017,06:50:05
-27.2012583,-109.4519467,25/11/2017,06:54:15
-27.201195,-109.4520033,25/11/2017,06:58:19
-27.2012617,-109.452125,25/11/2017,07:02:24
-27.2012217,-109.4521,25/11/2017,07:06:28
-27.2009733,-109.451735,25/11/2017,07:10:35
-27.2074567,-109.4550117,25/11/2017,07:14:41
-27.2012733,-109.4521133,25/11/2017,07:18:46
-27.2011683,-109.4520783,25/11/2017,07:22:51
-27.20118,-109.45146,25/11/2017,07:26:56
-27.2249783,-109.441885,25/11/2017,07:31:02
-27.2447717,-109.4309433,25/11/2017,07:35:06
-27.2629683,-109.4196583,25/11/2017,07:39:12
-27.2912267,-109.4214833,25/11/2017,07:43:18
-27.3170767,-109.4224433,25/11/2017,07:47:22
-27.341805,-109.425115,25/11/2017,07:51:27
-27.35722,-109.4252533,25/11/2017,07:55:33
-27.3758533,-109.42123,25/11/2017,07:59:38
-27.3848217,-109.4033567,25/11/2017,08:03:43
-27.38876,-109.4001433,25/11/2017,08:08:06
-27.396335,-109.3942717,25/11/2017,08:12:12
-27.3971967,-109.3756283,25/11/2017,08:16:18
-27.403765,-109.3657483,25/11/2017,08:20:23
-27.4077417,-109.34631,25/11/2017,08:24:28
-27.4160467,-109.3282317,25/11/2017,08:28:35
-27.4309667,-109.3120483,25/11/2017,08:32:44
-27.4345967,-109.2934583,25/11/2017,08:36:49
-27.4449383,-109.28192,25/11/2017,08:40:56
-27.4504933,-109.2608183,25/11/2017,08:45:08
-27.4580933,-109.2461183,25/11/2017,08:49:14
-27.456945,-109.22324,25/11/2017,08:53:25
-27.4483917,-109.2026833,25/11/2017,08:57:37
-27.4370933,-109.1866383,25/11/2017,09:01:45
-27.4248017,-109.1701133,25/11/2017,09:05:53
-27.4043683,-109.1585333,25/11/2017,09:10:22
-27.37371,-109.1589583,25/11/2017,09:15:56
-27.350185,-109.1653633,25/11/2017,09:20:00
-27.3256117,-109.170955,25/11/2017,09:24:05
-27.305285,-109.1549867,25/11/2017,09:28:10
-27.2864333,-109.1405433,25/11/2017,09:32:15
-27.2732233,-109.1223583,25/11/2017,09:36:19
-27.25141,-109.15743,25/11/2017,09:40:23
-27.2339317,-109.1843133,25/11/2017,09:44:27
-27.217545,-109.2167,25/11/2017,09:48:34
-27.1997233,-109.2418833,25/11/2017,09:52:38
-27.1974383,-109.2553917,25/11/2017,09:56:42
-27.19637,-109.2585883,25/11/2017,10:00:47
-27.19813,-109.2760817,25/11/2017,10:04:52
-27.197185,-109.3102333,25/11/2017,10:08:57
-27.1949683,-109.3377483,25/11/2017,10:13:01
-27.1961517,-109.384175,25/11/2017,10:17:06
-27.2019333,-109.4330267,25/11/2017,10:21:15
-27.2009517,-109.45255,25/11/2017,10:25:26
-27.200965,-109.4525483,25/11/2017,10:29:37
-27.2009283,-109.4526133,25/11/2017,10:33:51
-27.2009033,-109.452635,25/11/2017,10:38:02
-27.200955,-109.4525667,25/11/2017,10:42:07
-27.2012033,-109.4521633,25/11/2017,10:46:13
-27.201211700000002,-109.4521317,25/11/2017,10:50:19
-27.2011917,-109.4522117,25/11/2017,10:54:24
-27.200995,-109.4526317,25/11/2017,10:58:38
-27.201355,-109.4520233,25/11/2017,11:02:56
-27.2013283,-109.4520267,25/11/2017,11:07:10
-27.20126,-109.4520767,25/11/2017,11:11:22
-27.2012,-109.4521517,25/11/2017,11:15:37
-27.2011483,-109.4522133,25/11/2017,11:19:41
-27.20118,-109.4522017,25/11/2017,11:23:45
-27.2011533,-109.4522483,25/11/2017,11:27:50
-27.2011617,-109.4522617,25/11/2017,11:31:55
-27.2011067,-109.4522733,25/11/2017,11:36:01
-27.2010983,-109.4522633,25/11/2017,11:40:07
-27.20112,-109.4522467,25/11/2017,11:44:16
-27.2011217,-109.45227,25/11/2017,11:48:21
-27.2011333,-109.4522933,25/11/2017,11:52:26
-27.2015367,-109.4516767,25/11/2017,11:56:30
-27.2250583,-109.45132,25/11/2017,12:00:35
-27.2395883,-109.4579483,25/11/2017,12:04:40
-27.258745,-109.4733867,25/11/2017,12:08:44
-27.283875,-109.4804083,25/11/2017,12:12:51
-27.2958717,-109.5138117,25/11/2017,12:16:55
-27.296145,-109.515745,25/11/2017,12:21:00
-27.2981783,-109.5193967,25/11/2017,12:25:05
-27.2988617,-109.5236567,25/11/2017,12:29:09
-27.29963,-109.5285683,25/11/2017,12:33:20
-27.2994717,-109.5340283,25/11/2017,12:37:32
-27.2975017,-109.5392283,25/11/2017,12:41:42
-27.2953217,-109.5444333,25/11/2017,12:45:49
-27.293185,-109.5477033,25/11/2017,12:49:53
-27.290365,-109.5466267,25/11/2017,12:53:59
-27.29178,-109.5547483,25/11/2017,12:58:03
-27.2901917,-109.5596067,25/11/2017,13:02:09
-27.291545,-109.5628417,25/11/2017,13:06:13
-27.278925,-109.5517333,25/11/2017,13:10:19
-27.257995,-109.5315517,25/11/2017,13:14:24
-27.253165,-109.524305,25/11/2017,13:18:28
-27.2314817,-109.5070467,25/11/2017,13:22:33
-27.2138483,-109.48684,25/11/2017,13:26:38
-27.2004933,-109.4657617,25/11/2017,13:30:42
-27.200445,-109.4513783,25/11/2017,13:34:50
-27.2014283,-109.4525767,25/11/2017,13:39:03
-27.2014533,-109.452615,25/11/2017,13:43:08
-27.2014383,-109.4526383,25/11/2017,13:47:14
-27.2014333,-109.4525983,25/11/2017,13:51:19
-27.2014533,-109.452545,25/11/2017,13:55:24
-27.2015533,-109.45248,25/11/2017,13:59:28
-27.2015017,-109.4526083,25/11/2017,14:03:33
-27.201465,-109.4525633,25/11/2017,14:07:37
-27.2014633,-109.4525,25/11/2017,14:11:44
-27.2014567,-109.45253,25/11/2017,14:15:48
-27.2015333,-109.4527433,25/11/2017,14:20:02
-27.2013583,-109.4525583,25/11/2017,14:24:06
-27.20134,-109.4525617,25/11/2017,14:28:10
-27.20128,-109.4525683,25/11/2017,14:32:14
-27.2012583,-109.45258,25/11/2017,14:36:19
-27.2012983,-109.4526133,25/11/2017,14:40:23
-27.20139,-109.4525967,25/11/2017,14:44:27
-27.20128,-109.4525383,25/11/2017,14:48:32
-27.2013883,-109.4525533,25/11/2017,14:52:38
-27.201245,-109.4524233,25/11/2017,14:56:42
-27.2012517,-109.452535,25/11/2017,15:00:46
-27.2012867,-109.4524667,25/11/2017,15:04:50
-27.2012283,-109.4525417,25/11/2017,15:08:55
